smiles,withdrawn_class
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,1
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,1
CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,1
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,1
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,1
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,1
CC(N)C(O)c1ccccc1,1
CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],1
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,1
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,1
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,1
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,1
CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,1
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C.Cl,1
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,1
CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,1
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl,1
CC(C)(N)Cc1ccc(Cl)cc1.Cl,1
CC(N)C(O)c1ccccc1.Cl,1
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl,1
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,1
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl,1
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,1
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12.O=C(O)/C=C\C(=O)O,1
CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,1
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1.Cl,1
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1.Cl,1
CCNC(C)Cc1cccc(C(F)(F)F)c1.Cl,1
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1,1
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1.Cl.O,1
COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,1
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1
COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,1
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,1
CN1Cc2c(N)cccc2C(c2ccccc2)C1,1
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,1
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,1
