drug,chirality,alogp,aromatic rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy atoms,acid,base,neutral,zwitterion,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,oral administration,parentreral,topical,prodrug
prazosin hydrochloride,2,1.78,3,1.43,1.65,0,7.24,383.41,8,9,1,2,28,0,0,1,0,383.41,383.1594,0,0,106.95,0.73,0,4,1,0,0,0
nicotine,1,1.85,1,-0.04,1.16,0,8.58,162.24,2,2,0,0,12,0,1,0,0,162.24,162.1157,0,0,16.13,0.63,1,1,1,0,1,0
ofloxacin,0,1.54,2,-0.47,0.51,5.29,6.16,361.37,6,7,1,1,26,1,0,0,0,361.37,361.1438,0,0,75.01,0.87,0,2,1,1,1,0
chembl5,2,1.42,2,-0.45,0.79,4.37,6.06,232.24,4,5,1,1,17,1,0,0,0,232.24,232.0848,0,0,72.19,0.85,0,2,1,0,0,0
indomethacin,2,3.93,3,0.26,3.53,3.79,0,357.79,4,5,1,1,25,1,0,0,0,357.79,357.0768,0,0,68.53,0.77,0,4,1,1,1,0
chembl403,1,-0.79,0,-4.35,-0.89,3.09,0,233.25,4,6,1,1,15,1,0,0,0,233.25,233.0358,0,0,91.75,0.6,0,1,0,1,0,0
chembl404,1,-1.52,1,-4.89,-1.4,2.86,0.75,300.3,7,9,1,1,20,1,0,0,0,300.3,300.0528,0,0,122.46,0.67,0,3,0,1,0,0
ciprofloxacin tablets,2,1.58,2,-0.85,-0.85,5.56,8.68,331.35,5,6,2,2,24,0,0,0,1,331.35,331.1332,0,0,74.57,0.89,0,3,1,1,1,0
chembl9,2,1.27,2,-0.96,-0.96,5.58,8.68,319.34,5,6,2,2,23,0,0,0,1,319.34,319.1332,0,0,74.57,0.89,0,3,1,0,1,0
chembl6318,2,7.13,3,6.12,7.69,0,8.95,523.46,2,2,0,0,31,0,1,0,0,523.46,523.1372,2,2,12.47,0.23,0,8,0,0,0,0
chembl405,0,1.58,1,-0.67,1.8,0,10.01,135.21,1,1,1,2,10,0,1,0,0,135.21,135.1048,0,0,26.02,0.65,1,2,1,0,0,0
chembl6622,1,-1.06,0,-0.01,-0.01,0,0,236.14,8,10,0,0,16,0,0,1,0,236.14,236.0281,0,0,123.2,0.45,0,4,1,0,1,1
chembl6437,0,3.08,2,3.71,3.83,0,6.92,264.37,2,2,0,0,20,0,0,1,0,264.37,264.1626,0,0,6.48,0.72,0,0,0,0,0,0
chembl11,2,3.88,2,2.48,4.28,0,9.2,280.42,2,2,0,0,21,0,1,0,0,280.42,280.1939,0,0,6.48,0.84,0,4,1,1,0,0
indapamide,0,2.08,2,2.63,2.64,8.85,0.1,365.84,4,6,2,3,24,0,0,1,0,365.84,365.0601,0,0,92.5,0.87,0,3,1,0,0,0
flumazenil,2,1.77,2,1.39,1.39,0,2.87,303.29,5,6,0,0,22,0,0,1,0,303.29,303.1019,0,0,64.43,0.79,0,2,0,1,0,0
chembl408,0,4.37,2,4.67,5.5,6.61,0,441.55,6,6,2,2,31,0,0,1,0,441.55,441.161,0,0,84.86,0.72,0,5,1,0,0,0
bicalutamide,0,2.88,2,2.71,2.71,11.78,0,430.38,5,6,2,2,29,0,0,1,0,430.38,430.061,0,0,107.26,0.56,0,5,1,0,0,0
