drug,atc,chirality,alogp,aromatic rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy atoms,molecular species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,oral administration,parentreral,topical,prodrug,withdrawn flag,black_box warning,smiles,name,,,,,,,,
CHEMBL2,C02CA01_,2,1.78,3,1.43,1.65,None,7.24,383.41,8,9,1,2,28,NEUTRAL,383.41,383.1594,0,0,106.95,0.73,N,4,TRUE,FALSE,FALSE,0,FALSE,0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,Prazosin_CP-122991_CP-12299_,,,,,,,,
CHEMBL3,N07BA01_,1,1.85,1,-0.04,1.16,None,8.58,162.24,2,2,0,0,12,BASE,162.24,162.1157,0,0,16.13,0.63,Y,1,TRUE,FALSE,TRUE,0,FALSE,0,CN1CCC[C@H]1c1cccnc1,Nicoderm cq_Stoppers_Nicotrol_Nicotrol NS_Niquitin_Niquitin minis orange_Nicotinell tts 30_Nicorette invisi_Niquitin mint_Nicopatch_Niquitin strips mint_Niquitin minis cherry_Nicopass_Habitrol_Nicotrol Inhaler_Nicoderm_Nicotinell tts 20_Niquitin pre-quit_Nicotine_Nicotinell classic_Niquitin clr_Niquitin minis mint_Nicotinell tts 10_Nicotinell support_Stubit_Nicabate_Prostep_,,,,,,,,
CHEMBL4,J01MA01_S02AA16_S01AE01_,0,1.54,2,-0.47,0.51,5.29,6.16,361.37,6,7,1,1,26,ACID,361.37,361.1438,0,0,75.01,0.87,N,2,TRUE,TRUE,TRUE,0,FALSE,1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Ocuflox_Visiren_Tarivid_DL-8280_Exocin_HOE 280_HOE-280_Tarivid i.v._J01MA01_Ofloxacin_NSC-727071_NSC-758178_Floxin_Floxin otic_Tarivid 400_,,,,,,,,
CHEMBL5,J01MB02_,2,1.42,2,-0.45,0.79,4.37,6.06,232.24,4,5,1,1,17,ACID,232.24,232.0848,0,0,72.19,0.85,N,2,TRUE,FALSE,FALSE,0,FALSE,0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Negram_Nalidixane_Uriben_Nalidixic acid_Wintomylon_Nalix_Neggram_Neg Gram_WIN-18320_Uroneg_WIN 18,320_Nalidixate_Mictral_NSC-82174_,,,,,,,
CHEMBL6,C01EB03_M02AA23_M01AB51_S01BC01_M01AB01_,2,3.93,3,0.26,3.53,3.79,None,357.79,4,5,1,1,25,ACID,357.79,357.0768,0,0,68.53,0.77,N,4,TRUE,TRUE,TRUE,0,FALSE,1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Indocid ret_NSC-757061_Indoderm_Rheumacin la_Indoptol_Indocin sr_Pardelprin mr_Indo-paed_Durametacin_NSC-77541_Indomax-75 sr_Indometacin farnesil_Artracin_Indotard mr 75_Indoflex_Mobilan_Indo-lemmon_Indomod_Flexin-75 continus_Rimacid_Tivorbex_Indomethacin_Berlind 75 ret_Ledmecin_Flexin-50 continus_Flexin-25 continus_Indocin_Slo-indo_Aconip_Indometacinum_Indolar_Indolar sr_Reumacide_Indocid-r_Indometacin_Artracin sr_Maximet sr_Imbrilon_Indomax-25_,,,,,,,,
CHEMBL403,J01CG01_,1,-0.79,0,-4.35,-0.89,3.09,None,233.25,4,6,1,1,15,ACID,233.25,233.0358,0,0,91.75,0.6,N,1,FALSE,TRUE,FALSE,0,FALSE,0,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CP-458992_CP-45899_NSC-759886_Sulbactam_,,,,,,,,
CHEMBL404,J01CG02_,1,-1.52,1,-4.89,-1.4,2.86,0.75,300.3,7,9,1,1,20,ACID,300.3,300.0528,0,0,122.46,0.67,N,3,FALSE,TRUE,FALSE,0,FALSE,0,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CL-298741_YTR-830H_Tazobactam_CL 298,741_NSC-759887_,,,,,,,
CHEMBL8,J01MA02_S03AA07_S01AE03_S02AA15_,2,1.58,2,-0.85,-0.85,5.56,8.68,331.35,5,6,2,2,24,ZWITTERION,331.35,331.1332,0,0,74.57,0.89,N,3,TRUE,TRUE,TRUE,0,FALSE,1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Ciprobay_Ciprofloxacin_BAY-Q-3939_Cipro_BAY O 9867 FREE BASE_BAY Q 3939_Ciloxan_BAY-O-9867 FREE BASE_NSC-758467_Cetraxal_Ciprofloxacinum_BAYQ3939_Otiprio_Velmonit_,,,,,,,,
CHEMBL9,J01MA06_S01AE02_,2,1.27,2,-0.96,-0.96,5.58,8.68,319.34,5,6,2,2,23,ZWITTERION,319.34,319.1332,0,0,74.57,0.89,N,3,TRUE,FALSE,TRUE,0,FALSE,1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,Baccidal_Chibroxin_NSC-757250_Utinor_Quinabic_Noroxin_Norfloxacin_MK-366_,,,,,,,,
CHEMBL6318,,2,7.13,3,6.12,7.69,None,8.95,523.46,2,2,0,0,31,BASE,523.46,523.1372,2,2,12.47,0.23,N,8,FALSE,FALSE,FALSE,0,FALSE,0,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,Idoxifene_SB-223030_CB 7432_CB-7432_,,,,,,,,
