,drug,withdrawn_class,smiles
0,chembl479,1,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
1,chembl12713,1,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
2,chembl583,1,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
3,chembl17157,1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
4,chembl121,1,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
5,chembl122,1,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
6,chembl850,1,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
7,chembl296419,1,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
8,chembl865,1,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
9,chembl45816,1,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
10,chembl61006,1,CC(N)C(O)c1ccccc1
11,chembl421701,1,CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-]
12,chembl315838,1,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1
13,chembl1275,1,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O
14,chembl363295,1,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C
15,chembl1419,1,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
16,chembl1514,1,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
17,chembl248702,1,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
18,chembl515914,1,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
19,chembl539770,1,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C.Cl
20,chembl1185568,1,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21
21,chembl1200393,1,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl
22,chembl1200595,1,CC(C)(N)Cc1ccc(Cl)cc1.Cl
23,chembl1200817,1,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
24,chembl1201269,1,CC(C)(N)Cc1ccc(Cl)cc1
25,chembl1237104,1,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
26,chembl1474889,1,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
27,chembl1534525,1,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
28,chembl1697686,1,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1
29,chembl1887891,1,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1.Cl
30,chembl2106155,1,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1.Cl
31,chembl2106217,1,CCNC(C)Cc1cccc(C(F)(F)F)c1.Cl
32,chembl3989716,1,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1
33,chembl408,1,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
34,chembl436,1,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
35,chembl267744,1,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
36,chembl273575,1,CN1Cc2c(N)cccc2C(c2ccccc2)C1
37,chembl27193,1,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
38,chembl36506,1,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
39,chembl54349,1,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
40,chembl75880,1,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
41,chembl329522,1,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O
42,chembl1177,1,NC1=NC(=O)C(c2ccccc2)O1
43,chembl340978,1,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
44,chembl341812,1,CC(C)Cc1ccc(CC(=O)O)cc1
45,chembl141305,1,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
46,chembl139877,1,NC(=O)NS(=O)(=O)c1ccc(N)cc1
47,chembl159226,1,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
48,chembl1341,1,COC(F)(F)C(Cl)Cl
49,chembl188952,1,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
50,chembl232201,1,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
51,chembl245807,1,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
52,chembl254857,1,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
53,chembl404849,1,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
54,chembl1089221,1,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
55,chembl1200498,1,CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21
56,chembl1200714,1,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
57,chembl1201197,1,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21
58,chembl1256842,1,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O
59,chembl1334033,1,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
60,chembl1402684,1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1
61,chembl1474963,1,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1
62,chembl1615350,1,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21
63,chembl1697751,1,CC(C)Nc1ncccn1.O=P(O)(O)O
64,chembl1909282,1,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1
65,chembl1909283,1,CC(NN)c1ccccc1
66,chembl1909285,1,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
67,chembl1909286,1,CC(COc1ccccc1)NN
68,chembl1909288,1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1
69,chembl1909289,1,CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1
70,chembl1740513,1,CC(C)Nc1ncccn1
71,chembl1742471,1,NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1
72,chembl2104136,1,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21.O=P(O)(O)O
73,chembl2105740,1,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)[N-]c1onc(C)c1Cl)OCO2.[Na+]
74,chembl2107495,1,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1.Cl
75,chembl2355333,1,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1.Cl.Cl.O
76,chembl3183453,1,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+]
77,chembl268164,1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
78,chembl497,1,Oc1c(I)cc(Cl)c2cccnc12
79,chembl13280,1,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
80,chembl101,1,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
