RandomSeed,TestSet,Data,Accuracy,AUROC,F1,Precision,Recall,MCC,Classifier
0,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotsk
1,1,alldataonelevel,0.921875,0.790740741,0.705882353,0.857142857,0.6,0.67646654,tpotsk
2,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotsk
3,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotsk
4,1,alldataonelevel,0.9453125,0.865740741,0.810810811,0.882352941,0.75,0.782607961,tpotsk
5,1,alldataonelevel,0.9453125,0.906481481,0.829268293,0.80952381,0.85,0.797069332,tpotsk
6,1,alldataonelevel,0.9609375,0.89537037,0.864864865,0.941176471,0.8,0.846009112,tpotsk
7,1,alldataonelevel,0.9375,0.8,0.75,1,0.6,0.747409319,tpotsk
8,1,alldataonelevel,0.9609375,0.89537037,0.864864865,0.941176471,0.8,0.846009112,tpotsk
9,1,alldataonelevel,0.9453125,0.906481481,0.829268293,0.80952381,0.85,0.797069332,tpotsk
0,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotdefault
1,1,alldataonelevel,0.921875,0.790740741,0.705882353,0.857142857,0.6,0.67646654,tpotdefault
2,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotdefault
3,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotdefault
4,1,alldataonelevel,0.9453125,0.865740741,0.810810811,0.882352941,0.75,0.782607961,tpotdefault
5,1,alldataonelevel,0.9453125,0.906481481,0.829268293,0.80952381,0.85,0.797069332,tpotdefault
6,1,alldataonelevel,0.9609375,0.89537037,0.864864865,0.941176471,0.8,0.846009112,tpotdefault
7,1,alldataonelevel,0.9375,0.8,0.75,1,0.6,0.747409319,tpotdefault
8,1,alldataonelevel,0.9609375,0.89537037,0.864864865,0.941176471,0.8,0.846009112,tpotdefault
9,1,alldataonelevel,0.9453125,0.906481481,0.829268293,0.80952381,0.85,0.797069332,tpotdefault
0,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotdefault
1,1,alldataonelevel,0.921875,0.790740741,0.705882353,0.857142857,0.6,0.67646654,tpotdefault
2,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotdefault
3,1,alldataonelevel,0.953125,0.890740741,0.842105263,0.888888889,0.8,0.816230787,tpotdefault
4,1,alldataonelevel,0.9453125,0.865740741,0.810810811,0.882352941,0.75,0.782607961,tpotdefault
5,1,alldataonelevel,0.9453125,0.906481481,0.829268293,0.80952381,0.85,0.797069332,tpotdefault
6,1,alldataonelevel,0.9609375,0.89537037,0.864864865,0.941176471,0.8,0.846009112,tpotdefault
7,1,alldataonelevel,0.9375,0.8,0.75,1,0.6,0.747409319,tpotdefault
8,1,alldataonelevel,0.9609375,0.89537037,0.864864865,0.941176471,0.8,0.846009112,tpotdefault
9,1,alldataonelevel,0.9453125,0.906481481,0.829268293,0.80952381,0.85,0.797069332,tpotdefault
,,,,,,,,,
,,AVERAG,0.94765625,0.873240741,0.818127527,0.890756303,0.765,0.794133307,
,,STANDARD DEVIATION,0.01126548,0.041107249,0.049447631,0.0570181,0.088229716,0.048805491,
,,,,,,,,,
,,average,0.94765625,0.873240741,0.818127527,0.890756303,0.765,0.794133307,
,,STANDARD DEVIATION,0.011675267,0.042602544,0.051246311,0.05909216,0.091439111,0.050580812,
