,drug,withdrawn,withdrawn_cards,withdrawn_liver,withdrawn_neuro,ATC_cards,ATC_liver,ATC_neuro,smiles
0,chembl479,1,1,0,0,0,0,1,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
1,chembl12713,1,1,0,0,0,0,1,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
2,chembl583,1,1,0,0,0,0,0,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
3,chembl17157,1,1,0,0,0,0,0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
4,chembl121,1,1,0,0,0,0,0,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
5,chembl122,1,1,0,0,0,0,0,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
6,chembl24072,1,1,0,0,1,0,0,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
7,chembl850,1,1,0,0,0,0,0,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
8,chembl296419,1,1,0,0,0,0,0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
9,chembl865,1,1,0,0,0,0,0,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
10,chembl45816,1,1,0,0,1,0,0,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
11,chembl61006,1,1,0,0,0,0,0,CC(N)C(O)c1ccccc1
12,chembl421701,1,1,0,0,0,0,0,CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-]
13,chembl315838,1,1,0,0,1,0,0,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1
14,chembl1275,1,1,0,0,0,0,0,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O
15,chembl363295,1,1,0,0,0,0,0,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C
16,chembl1419,1,1,0,0,0,0,0,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
17,chembl400599,1,1,0,0,0,0,0,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
18,chembl1514,1,1,0,0,0,0,1,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
19,chembl248702,1,1,0,0,0,0,0,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
20,chembl515914,1,1,0,0,0,0,0,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
21,chembl539770,1,1,0,0,0,0,0,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C.Cl
22,chembl1729,1,1,0,0,0,0,0,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
23,chembl1185568,1,1,0,0,0,0,0,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21
24,chembl1200393,1,1,0,0,0,0,0,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl
25,chembl1200595,1,1,0,0,0,0,0,CC(C)(N)Cc1ccc(Cl)cc1.Cl
26,chembl1200695,1,1,0,0,0,0,0,CC(N)C(O)c1ccccc1.Cl
27,chembl1200817,1,1,0,0,0,0,0,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
28,chembl1201269,1,1,0,0,0,0,0,CC(C)(N)Cc1ccc(Cl)cc1
29,chembl1213351,1,1,0,0,0,0,1,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
30,chembl1237104,1,1,0,0,0,0,0,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
31,chembl1474889,1,1,0,0,0,0,0,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
32,chembl1516474,1,1,0,0,0,0,0,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12.O=C(O)/C=C\C(=O)O
33,chembl1534525,1,1,0,0,0,0,0,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
34,chembl1697686,1,1,0,0,0,0,0,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1
35,chembl1887891,1,1,0,0,0,0,0,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1.Cl
36,chembl2106155,1,1,0,0,0,0,0,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1.Cl
37,chembl2106217,1,1,0,0,0,0,0,CCNC(C)Cc1cccc(C(F)(F)F)c1.Cl
38,chembl3989716,1,1,0,0,0,0,0,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1
39,chembl3989830,1,1,0,0,0,0,0,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1.Cl.O
40,chembl408,1,0,1,0,0,0,0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
41,chembl436,1,0,1,0,0,0,0,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
42,chembl267744,1,0,1,0,0,0,0,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
43,chembl13376,1,0,1,0,0,0,0,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
44,chembl277100,1,0,1,0,0,0,0,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
45,chembl273575,1,0,1,0,0,0,1,CN1Cc2c(N)cccc2C(c2ccccc2)C1
46,chembl282724,1,0,1,0,0,0,0,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2
47,chembl27193,1,0,1,0,0,0,0,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
48,chembl36506,1,0,1,0,0,0,0,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
49,chembl37744,1,0,1,0,0,0,1,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1
50,chembl54349,1,0,1,0,0,0,0,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
51,chembl75880,1,0,1,1,1,0,0,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
52,chembl329522,1,0,1,0,0,0,0,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O
53,chembl1177,1,0,1,0,0,0,1,NC1=NC(=O)C(c2ccccc2)O1
54,chembl340978,1,0,1,0,0,0,0,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
55,chembl341812,1,0,1,0,0,0,0,CC(C)Cc1ccc(CC(=O)O)cc1
56,chembl141305,1,0,1,0,0,0,0,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
57,chembl139877,1,0,1,0,0,0,0,NC(=O)NS(=O)(=O)c1ccc(N)cc1
58,chembl159226,1,0,1,0,0,0,0,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
59,chembl1341,1,0,1,0,0,0,1,COC(F)(F)C(Cl)Cl
60,chembl188952,1,0,1,0,0,0,0,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
61,chembl232201,1,0,1,0,1,0,0,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
62,chembl245807,1,0,1,0,0,0,0,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
63,chembl254857,1,0,1,0,0,0,1,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
64,chembl404849,1,0,1,0,0,0,0,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
65,chembl404108,1,0,1,0,0,0,0,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
66,chembl1089221,1,0,1,0,0,0,0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
67,chembl1200498,1,0,1,0,0,0,0,CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21
68,chembl1200714,1,0,1,0,0,0,0,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
69,chembl1201197,1,0,1,0,0,0,0,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21
70,chembl1204165,1,0,1,0,0,0,0,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1.Cl
71,chembl1256841,1,0,1,0,0,0,1,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
72,chembl1256842,1,0,1,0,0,0,0,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O
73,chembl1334033,1,0,1,1,0,0,0,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
74,chembl1402684,1,0,1,0,0,0,0,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1
75,chembl1474963,1,0,1,0,0,0,0,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1
76,chembl1615350,1,0,1,0,0,0,0,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21
77,chembl1697751,1,0,1,0,0,0,0,CC(C)Nc1ncccn1.O=P(O)(O)O
78,chembl1909282,1,0,1,0,0,0,0,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1
79,chembl1909283,1,0,1,0,0,0,0,CC(NN)c1ccccc1
80,chembl1909285,1,0,1,0,0,0,0,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
